"ASIN","Country Code","Product Title","Product Review URL","Review Rating","Review Date","Reviewer URL","Reviewer Name","Reviewer ID","Review Title","Review Text","Verified Review","Variation ASIN","Deleted","Style"
"B07H38T3PG","IN","HP 15 AMD Ryzen 3 15.6-inch Laptop (4GB/1TB HDD/Windows 10 Home/Sparkling Black/2.04 kg), dy0004AU","https://www.amazon.in/gp/review/R3L6BKP11886RM","1.0","2019-08-04","https://www.amazon.in/gp/profile/amzn1.account.AE7NGLPXIQ47UAFXJBK5BIBZCD2A/ref=cm_cr_arp_d_gw_btm?ie=UTF8","Drharini","AE7NGLPXIQ47UAFXJBK5BIBZCD2A","Worst ever.","If I've a choice to give minus rankings I would. This is one of the worst laptops ever. It's definitely not worth it. It takes atleast 20mins to start.","Yes","B07FC6S8J7","Not Deleted","AMD E2"
"B07H38T3PG","IN","HP 15 AMD Ryzen 3 15.6-inch Laptop (4GB/1TB HDD/Windows 10 Home/Sparkling Black/2.04 kg), dy0004AU","https://www.amazon.in/gp/review/R2XFFQVNFRO6AG","4.0","2019-08-04","https://www.amazon.in/gp/profile/amzn1.account.AHYMGYDT44CYXGFXT4ENG7K4MS6A/ref=cm_cr_arp_d_gw_btm?ie=UTF8","ANS Rao","AHYMGYDT44CYXGFXT4ENG7K4MS6A","Careful with the keyboard","The laptop is great except for one item. The keyboard design is really poor. The silver topped keys with grey lettering are near invisible. The Function keys are numbered in miniscule font (that too in grey font). I think the regular designer went on a holiday while the keyboard was being designed.  I really would like to give it three stars only due to this huge factor in efficient usability. You need to have a light shining directly on the keyboard to see the keys properly.  But otherwise the machine is great.","Yes","B07HM7GNSZ","Not Deleted","Ryzen 3 + MS Office"
"B07H38T3PG","IN","HP 15 AMD Ryzen 3 15.6-inch Laptop (4GB/1TB HDD/Windows 10 Home/Sparkling Black/2.04 kg), dy0004AU","https://www.amazon.in/gp/review/R2I7AIELAA4HNY","4.0","2019-08-03","https://www.amazon.in/gp/profile/amzn1.account.AEYMHXPJRNVNQQP4QAMYDMDUDTHA/ref=cm_cr_arp_d_gw_btm?ie=UTF8","Rajesh","AEYMHXPJRNVNQQP4QAMYDMDUDTHA","Best","Cd drive","No","B07FC6S8J7","Not Deleted","AMD E2"
"B07H38T3PG","IN","HP 15 AMD Ryzen 3 15.6-inch Laptop (4GB/1TB HDD/Windows 10 Home/Sparkling Black/2.04 kg), dy0004AU","https://www.amazon.in/gp/review/R3UY6IXA7M2KH3","5.0","2019-08-03","https://www.amazon.in/gp/profile/amzn1.account.AGWIBUOLULXK3733XBAUKXLT6ECQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8","Suresh lebaka","AGWIBUOLULXK3733XBAUKXLT6ECQ","Good","Good working","Yes","B07FC6S8J7","Not Deleted","AMD E2"
"B07H38T3PG","IN","HP 15 AMD Ryzen 3 15.6-inch Laptop (4GB/1TB HDD/Windows 10 Home/Sparkling Black/2.04 kg), dy0004AU","https://www.amazon.in/gp/review/R2GJNLLZCTEUWR","2.0","2019-08-03","https://www.amazon.in/gp/profile/amzn1.account.AFRNP2NUTKOMDIC5O2J3DIV2V6WA/ref=cm_cr_arp_d_gw_btm?ie=UTF8","ankita mahaver","AFRNP2NUTKOMDIC5O2J3DIV2V6WA","Performance","Its very very slow","Yes","B07H38T3PG","Not Deleted","Ryzen 3"
"B07H38T3PG","IN","HP 15 AMD Ryzen 3 15.6-inch Laptop (4GB/1TB HDD/Windows 10 Home/Sparkling Black/2.04 kg), dy0004AU","https://www.amazon.in/gp/review/R2VPR5FS1K4QRK","3.0","2019-08-03","https://www.amazon.in/gp/profile/amzn1.account.AG4PRG3QGPRGGHFSM7FLVC6A3OBA/ref=cm_cr_arp_d_gw_btm?ie=UTF8","Harjit Singh","AG4PRG3QGPRGGHFSM7FLVC6A3OBA","Overall Good","But Processor is very slow and Anti virus is also available in trial Pack","Yes","B07HM7GNSZ","Not Deleted","Ryzen 3 + MS Office"
"B07H38T3PG","IN","HP 15 AMD Ryzen 3 15.6-inch Laptop (4GB/1TB HDD/Windows 10 Home/Sparkling Black/2.04 kg), dy0004AU","https://www.amazon.in/gp/review/R2R0DV72KJJUZ4","1.0","2019-08-03","https://www.amazon.in/gp/profile/amzn1.account.AEHRC7GVA7DZMBEEXGZMWCJGZ6RQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8","Amazon Customer","AEHRC7GVA7DZMBEEXGZMWCJGZ6RQ","Worst ever Laptop,  Slower than snail!","Worst ever Laptop. Slower than snail. Why do you sell such scrap and deceive customers.","Yes","B07H38T3PG","Not Deleted","Ryzen 3"
"B07H38T3PG","IN","HP 15 AMD Ryzen 3 15.6-inch Laptop (4GB/1TB HDD/Windows 10 Home/Sparkling Black/2.04 kg), dy0004AU","https://www.amazon.in/gp/review/R3H9EXR4Y9Q19E","1.0","2019-08-02","https://www.amazon.in/gp/profile/amzn1.account.AGFDWSHJICLIX3KMQTYCOJ5RUZJA/ref=cm_cr_arp_d_gw_btm?ie=UTF8","Senthamil Selvan P","AGFDWSHJICLIX3KMQTYCOJ5RUZJA","Never buy this laptop HP 15 AMD E2 15.6","Inspite of increasing the RAM to 8 GB, the speed of the machine has not improved. It's irritating to work on this laptop even for half an hour. Damn slow, Display gets freezed, opening new tab takes time..etc etc. It also have a problem of charging. It doesn't get charged while the lid is in open position. Everytime you have to put the machine in sleep mode to charge the battery. I don't know how and why Amazon sells such junk laptop. Since the replacement window is gone, could not change it. Waste of money.","Yes","B07FC6S8J7","Not Deleted","AMD E2"
"B07H38T3PG","IN","HP 15 AMD Ryzen 3 15.6-inch Laptop (4GB/1TB HDD/Windows 10 Home/Sparkling Black/2.04 kg), dy0004AU","https://www.amazon.in/gp/review/R1YMUXL0E9TS53","4.0","2019-08-02","https://www.amazon.in/gp/profile/amzn1.account.AFLSN3QNHJXUVEBHULDYUF6LSA5A/ref=cm_cr_arp_d_gw_btm?ie=UTF8","Adeline Samuel","AFLSN3QNHJXUVEBHULDYUF6LSA5A","Good product worth buying...","Good product. But the service instillation is delayed.","Yes","B07HM7GNSZ","Not Deleted","Ryzen 3 + MS Office"
"B07H38T3PG","IN","HP 15 AMD Ryzen 3 15.6-inch Laptop (4GB/1TB HDD/Windows 10 Home/Sparkling Black/2.04 kg), dy0004AU","https://www.amazon.in/gp/review/RB4N6AVVYD7IC","1.0","2019-08-02","https://www.amazon.in/gp/profile/amzn1.account.AET6U4CZXFWUWSSCN7I7RYPRWHYQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8","Santosh shetty","AET6U4CZXFWUWSSCN7I7RYPRWHYQ","Not a good choice","Very slow processor","Yes","B07FC6S8J7","Not Deleted","AMD E2"
